# ----------------------------------------
# Gorilla Gadgets
# User Explorer
# 20210801-20210906
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1587572025.1628188385,1,00:00:00,100.00%,$0.00,0,0.00%
1587600740.1629354444,1,00:00:00,100.00%,$0.00,0,0.00%
1588242054.1629054189,1,00:00:00,100.00%,$0.00,0,0.00%
1588495718.1629348785,1,00:00:00,100.00%,$0.00,0,0.00%
1588813934.1629199251,1,00:00:00,100.00%,$0.00,0,0.00%
1588869264.1630170764,1,00:00:00,100.00%,$0.00,0,0.00%
1589399885.1628808408,1,00:00:00,100.00%,$0.00,0,0.00%
1589424626.1630603905,1,00:00:00,100.00%,$0.00,0,0.00%
1589780621.1629157967,1,00:00:00,100.00%,$0.00,0,0.00%
158980882.1630160952,1,00:00:00,100.00%,$0.00,0,0.00%
1589995637.1628566302,1,00:01:28,0.00%,$0.00,0,0.00%
1590052709.1628774796,1,00:03:02,0.00%,$0.00,0,0.00%
1590076834.1630210317,1,00:00:00,100.00%,$0.00,0,0.00%
1590138399.1628488185,1,00:00:00,100.00%,$0.00,0,0.00%
1590168420.1629183976,1,00:00:00,100.00%,$0.00,0,0.00%
159017341.1629806392,1,00:00:00,100.00%,$0.00,0,0.00%
1590190652.1630173038,1,00:00:00,100.00%,$0.00,0,0.00%
1590248933.1628900421,1,00:00:00,100.00%,$0.00,0,0.00%
159032594.1628553358,1,00:00:00,100.00%,$0.00,0,0.00%
1590381280.1628985696,1,00:00:30,0.00%,$0.00,0,0.00%
1590451157.1629856419,1,00:00:00,100.00%,$0.00,0,0.00%
1590578847.1629250583,1,00:00:00,100.00%,$0.00,0,0.00%
1590981957.1630773204,1,00:00:00,100.00%,$0.00,0,0.00%
1591043355.1630717976,1,00:02:59,0.00%,$0.00,0,0.00%
1591056122.1628691884,1,00:00:00,100.00%,$0.00,0,0.00%
159151220.1628109507,1,00:00:00,100.00%,$0.00,0,0.00%
159193108.1628785749,1,00:00:00,100.00%,$0.00,0,0.00%
